Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
3,0.0,0.926899,0.239828,0.687071
3,0.01,0.967946,0.258405,0.709541
3,0.02,0.967365,0.258621,0.708744
3,0.03,0.962182,0.260207,0.701975
3,0.04,0.962823,0.259418,0.703405
3,0.05,0.961785,0.259437,0.702348
3,0.06,0.955517,0.26151,0.694007
3,0.07,0.955154,0.262854,0.692301
3,0.08,0.952425,0.263394,0.689031
3,0.09,0.947245,0.264336,0.682909
3,0.1,0.947181,0.263306,0.683875
3,0.11,0.943088,0.264785,0.678302
3,0.12,0.937974,0.263458,0.674516
3,0.13,0.934608,0.26709,0.667518
3,0.14,0.931338,0.269491,0.661848
3,0.15,0.924787,0.269543,0.655243
3,0.16,0.920511,0.270407,0.650104
3,0.17,0.915866,0.269941,0.645925
3,0.18,0.908319,0.272153,0.636166
3,0.19,0.905631,0.273793,0.631838
3,0.2,0.898529,0.274357,0.624172
3,0.21,0.896794,0.274337,0.622458
3,0.22,0.887639,0.276008,0.611631
3,0.23,0.883036,0.277115,0.605921
3,0.24,0.8793,0.278257,0.601043
3,0.25,0.870481,0.278981,0.591499
3,0.26,0.869737,0.27966,0.590076
3,0.27,0.865596,0.281491,0.584105
3,0.28,0.857642,0.281917,0.575726
3,0.29,0.851737,0.282416,0.569321
3,0.3,0.849721,0.284348,0.565373
3,0.31,0.844843,0.284745,0.560099
3,0.32,0.840363,0.28693,0.553433
3,0.33,0.829382,0.284642,0.544741
3,0.34,0.827336,0.288585,0.538751
3,0.35,0.823769,0.289934,0.533835
3,0.36,0.817101,0.291214,0.525886
3,0.37,0.814023,0.292572,0.521452
3,0.38,0.811012,0.29069,0.520322
3,0.39,0.803312,0.294247,0.509065
3,0.4,0.795953,0.296568,0.499386
3,0.41,0.792534,0.295185,0.497349
3,0.42,0.789367,0.296412,0.492955
3,0.43,0.785569,0.298875,0.486694
3,0.44,0.776901,0.30005,0.476851
3,0.45,0.773548,0.302198,0.47135
3,0.46,0.769191,0.30239,0.466801
3,0.47,0.767934,0.302677,0.465257
3,0.48,0.765706,0.305135,0.460571
3,0.49,0.754939,0.307307,0.447632
3,0.5,0.747602,0.306013,0.441589
3,0.51,0.743404,0.308344,0.43506
3,0.52,0.739352,0.31001,0.429341
3,0.53,0.73612,0.310202,0.425917
3,0.54,0.730738,0.31077,0.419968
3,0.55,0.728438,0.311901,0.416537
3,0.56,0.720946,0.313519,0.407427
3,0.57,0.717078,0.314793,0.402285
3,0.58,0.714176,0.315096,0.39908
3,0.59,0.710229,0.3128,0.39743
3,0.6,0.705122,0.31527,0.389852
3,0.61,0.699515,0.318422,0.381094
3,0.62,0.697763,0.317475,0.380288
3,0.63,0.69383,0.318391,0.375439
3,0.64,0.690483,0.319558,0.370925
3,0.65,0.680367,0.320381,0.359987
3,0.66,0.672095,0.321492,0.350603
3,0.67,0.666934,0.320765,0.346169
3,0.68,0.665217,0.321185,0.344032
3,0.69,0.662026,0.319248,0.342777
3,0.7,0.661637,0.321423,0.340214
3,0.71,0.654825,0.323986,0.33084
3,0.72,0.649955,0.324891,0.325064
3,0.73,0.645426,0.327088,0.318338
3,0.74,0.640014,0.325826,0.314188
3,0.75,0.638018,0.326846,0.311172
3,0.76,0.634115,0.329298,0.304817
3,0.77,0.632674,0.329584,0.30309
3,0.78,0.623573,0.328514,0.295059
3,0.79,0.619089,0.326631,0.292458
3,0.8,0.615518,0.328009,0.287509
3,0.81,0.612183,0.328203,0.28398
3,0.82,0.609572,0.3321,0.277471
3,0.83,0.606334,0.330953,0.275381
3,0.84,0.601802,0.332051,0.269751
3,0.85,0.595657,0.333707,0.26195
3,0.86,0.594933,0.334328,0.260605
3,0.87,0.588685,0.336358,0.252328
3,0.88,0.586521,0.334259,0.252262
3,0.89,0.581009,0.334019,0.24699
3,0.9,0.579803,0.334226,0.245577
3,0.91,0.574557,0.33613,0.238426
3,0.92,0.57182,0.335258,0.236562
3,0.93,0.569882,0.336108,0.233774
3,0.94,0.566341,0.336285,0.230056
3,0.95,0.564813,0.338823,0.22599
3,0.96,0.560675,0.338419,0.222256
3,0.97,0.556437,0.339319,0.217119
3,0.98,0.545702,0.339131,0.206571
3,0.99,0.539463,0.338774,0.200689
3,1.0,0.537065,0.340454,0.196611
