Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
4,0.0,0.991636,0.488571,0.503065
4,0.01,0.996962,0.51323,0.483731
4,0.02,0.996962,0.51323,0.483731
4,0.03,0.995443,0.509619,0.485824
4,0.04,0.994246,0.533244,0.461002
4,0.05,0.994678,0.533497,0.461182
4,0.06,0.993123,0.529622,0.463501
4,0.07,0.976938,0.54702,0.429919
4,0.08,0.990762,0.553043,0.437719
4,0.09,0.989653,0.548958,0.440695
4,0.1,0.976217,0.551666,0.424551
4,0.11,0.97899,0.571438,0.407552
4,0.12,0.984828,0.567832,0.416996
4,0.13,0.979348,0.56704,0.412309
4,0.14,0.970194,0.584634,0.385559
4,0.15,0.974753,0.586106,0.388647
4,0.16,0.975604,0.588087,0.387517
4,0.17,0.962415,0.597203,0.365212
4,0.18,0.963242,0.601338,0.361904
4,0.19,0.968663,0.605776,0.362887
4,0.2,0.959731,0.603465,0.356265
4,0.21,0.957553,0.61567,0.341883
4,0.22,0.958097,0.621875,0.336222
4,0.23,0.957177,0.618001,0.339176
4,0.24,0.947503,0.629113,0.318389
4,0.25,0.945052,0.634318,0.310734
4,0.26,0.949326,0.640599,0.308726
4,0.27,0.942251,0.638156,0.304095
4,0.28,0.941016,0.648542,0.292474
4,0.29,0.939134,0.654514,0.28462
4,0.3,0.933766,0.647349,0.286417
4,0.31,0.929157,0.660905,0.268252
4,0.32,0.929643,0.668059,0.261584
4,0.33,0.92949,0.662935,0.266555
4,0.34,0.920644,0.669257,0.251387
4,0.35,0.920731,0.682121,0.23861
4,0.36,0.916066,0.681271,0.234795
4,0.37,0.91293,0.677495,0.235435
4,0.38,0.908049,0.692782,0.215267
4,0.39,0.909647,0.69443,0.215217
4,0.4,0.901958,0.68476,0.217199
4,0.41,0.89915,0.701186,0.197964
4,0.42,0.896091,0.708664,0.187427
4,0.43,0.895669,0.706727,0.188942
4,0.44,0.889271,0.707088,0.182183
4,0.45,0.885489,0.719555,0.165934
4,0.46,0.885674,0.720939,0.164736
4,0.47,0.876352,0.714415,0.161937
4,0.48,0.877267,0.726785,0.150482
4,0.49,0.870181,0.733574,0.136606
4,0.5,0.871632,0.730995,0.140637
4,0.51,0.861262,0.732275,0.128987
4,0.52,0.860727,0.741815,0.118912
4,0.53,0.857391,0.748304,0.109087
4,0.54,0.85165,0.739258,0.112393
4,0.55,0.846688,0.748863,0.097825
4,0.56,0.842781,0.756344,0.086436
4,0.57,0.841267,0.752338,0.08893
4,0.58,0.830734,0.755185,0.075548
4,0.59,0.827772,0.764695,0.063076
4,0.6,0.82575,0.769456,0.056294
4,0.61,0.82104,0.760148,0.060891
4,0.62,0.811851,0.768492,0.043359
4,0.63,0.809055,0.775811,0.033244
4,0.64,0.805914,0.770515,0.035399
4,0.65,0.798661,0.773315,0.025346
4,0.66,0.791851,0.780755,0.011096
4,0.67,0.790352,0.783945,0.006407
4,0.68,0.781589,0.776424,0.005165
4,0.69,0.776573,0.784185,0.007612
4,0.7,0.769078,0.789429,0.020351
4,0.71,0.762173,0.783778,0.021605
4,0.72,0.760006,0.788234,0.028228
4,0.73,0.751526,0.792057,0.040532
4,0.74,0.742724,0.793094,0.050371
4,0.75,0.737056,0.788473,0.051417
4,0.76,0.734335,0.793168,0.058833
4,0.77,0.720378,0.794975,0.074597
4,0.78,0.716875,0.794401,0.077526
4,0.79,0.713454,0.794901,0.081447
4,0.8,0.701889,0.793387,0.091498
4,0.81,0.694203,0.798718,0.104516
4,0.82,0.687293,0.792627,0.105334
4,0.83,0.680015,0.790751,0.110737
4,0.84,0.674562,0.794061,0.119499
4,0.85,0.666594,0.79888,0.132286
4,0.86,0.650653,0.785928,0.135276
4,0.87,0.649205,0.789511,0.140306
4,0.88,0.646039,0.795622,0.149583
4,0.89,0.625588,0.782578,0.156991
4,0.9,0.621919,0.78471,0.162792
4,0.91,0.621011,0.787489,0.166478
4,0.92,0.615638,0.793559,0.17792
4,0.93,0.595912,0.776674,0.180762
4,0.94,0.592018,0.780529,0.188511
4,0.95,0.592723,0.786376,0.193653
4,0.96,0.573428,0.774302,0.200873
4,0.97,0.565678,0.772307,0.20663
4,0.98,0.560411,0.774383,0.213972
4,0.99,0.551608,0.768348,0.21674
4,1.0,0.542087,0.763743,0.221656
