Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
2,0.0,0.981196,0.760907,0.220289
2,0.01,0.999984,0.775866,0.224118
2,0.02,0.989491,0.772907,0.216584
2,0.03,0.978119,0.753637,0.224483
2,0.04,0.982799,0.749378,0.233421
2,0.05,0.970508,0.752766,0.217742
2,0.06,0.96488,0.742897,0.221983
2,0.07,0.956892,0.730335,0.226557
2,0.08,0.950985,0.723315,0.227671
2,0.09,0.943766,0.72288,0.220886
2,0.1,0.936586,0.717554,0.219031
2,0.11,0.924353,0.705282,0.219072
2,0.12,0.917027,0.699407,0.217619
2,0.13,0.908232,0.694731,0.213501
2,0.14,0.899072,0.688162,0.21091
2,0.15,0.891054,0.680264,0.210791
2,0.16,0.883681,0.674491,0.20919
2,0.17,0.873987,0.669311,0.204675
2,0.18,0.863721,0.663394,0.200327
2,0.19,0.854424,0.655311,0.199113
2,0.2,0.846292,0.649118,0.197174
2,0.21,0.835947,0.643983,0.191964
2,0.22,0.82821,0.63845,0.18976
2,0.23,0.817455,0.633026,0.184429
2,0.24,0.806873,0.624297,0.182576
2,0.25,0.797287,0.618026,0.179261
2,0.26,0.788668,0.615194,0.173474
2,0.27,0.777817,0.60768,0.170137
2,0.28,0.767294,0.60351,0.163784
2,0.29,0.756496,0.596854,0.159641
2,0.3,0.746672,0.589829,0.156843
2,0.31,0.736229,0.585648,0.150581
2,0.32,0.725829,0.579978,0.14585
2,0.33,0.716907,0.575762,0.141144
2,0.34,0.705181,0.572296,0.132885
2,0.35,0.694272,0.564926,0.129346
2,0.36,0.684018,0.559791,0.124227
2,0.37,0.671339,0.555943,0.115395
2,0.38,0.661931,0.550466,0.111465
2,0.39,0.65116,0.546654,0.104506
2,0.4,0.639957,0.540573,0.099384
2,0.41,0.629848,0.536909,0.092939
2,0.42,0.617249,0.534786,0.082463
2,0.43,0.606456,0.527009,0.079447
2,0.44,0.598838,0.523955,0.074883
2,0.45,0.587661,0.518362,0.069299
2,0.46,0.576365,0.514386,0.06198
2,0.47,0.565575,0.509894,0.055681
2,0.48,0.554507,0.505162,0.049345
2,0.49,0.543773,0.500065,0.043708
2,0.5,0.532475,0.496995,0.03548
2,0.51,0.523364,0.493535,0.029829
2,0.52,0.512395,0.490631,0.021764
2,0.53,0.501673,0.484416,0.017257
2,0.54,0.49124,0.480306,0.010934
2,0.55,0.480978,0.477095,0.003883
2,0.56,0.470076,0.474168,0.004092
2,0.57,0.460316,0.469688,0.009372
2,0.58,0.449182,0.465901,0.016719
2,0.59,0.440038,0.462258,0.022221
2,0.6,0.430019,0.458761,0.028742
2,0.61,0.420318,0.455149,0.034832
2,0.62,0.409903,0.451942,0.042039
2,0.63,0.401827,0.447578,0.045751
2,0.64,0.389727,0.441814,0.052087
2,0.65,0.386412,0.441804,0.055392
2,0.66,0.37521,0.436903,0.061693
2,0.67,0.362236,0.43257,0.070334
2,0.68,0.35629,0.429441,0.073151
2,0.69,0.346356,0.42654,0.080185
2,0.7,0.337391,0.422458,0.085067
2,0.71,0.328684,0.418815,0.09013
2,0.72,0.321219,0.414153,0.092935
2,0.73,0.31184,0.410632,0.098793
2,0.74,0.304014,0.408496,0.104482
2,0.75,0.29465,0.405318,0.110668
2,0.76,0.287437,0.401842,0.114404
2,0.77,0.278995,0.398631,0.119636
2,0.78,0.27206,0.394921,0.122861
2,0.79,0.262854,0.391613,0.128759
2,0.8,0.255377,0.388372,0.132994
2,0.81,0.248602,0.386342,0.13774
2,0.82,0.240484,0.382219,0.141736
2,0.83,0.233126,0.378697,0.145571
2,0.84,0.226469,0.377082,0.150613
2,0.85,0.218869,0.37342,0.154551
2,0.86,0.211047,0.369939,0.158893
2,0.87,0.20307,0.365215,0.162146
2,0.88,0.197404,0.364246,0.166842
2,0.89,0.192009,0.361941,0.169931
2,0.9,0.185088,0.358258,0.17317
2,0.91,0.178546,0.354415,0.175869
2,0.92,0.172651,0.353434,0.180784
2,0.93,0.166059,0.350209,0.18415
2,0.94,0.159142,0.34589,0.186748
2,0.95,0.153327,0.34475,0.191423
2,0.96,0.146963,0.342649,0.195686
2,0.97,0.141611,0.338373,0.196763
2,0.98,0.134654,0.336128,0.201474
2,0.99,0.1294,0.33363,0.20423
2,1.0,0.123889,0.330306,0.206416
