Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
5,0.0,0.9537,0.640743,0.312957
5,0.01,0.988207,0.683642,0.304565
5,0.02,0.988162,0.683573,0.304589
5,0.03,0.985266,0.682532,0.302735
5,0.04,0.986494,0.686136,0.300357
5,0.05,0.983467,0.684166,0.299301
5,0.06,0.982014,0.684416,0.297599
5,0.07,0.982274,0.69064,0.291634
5,0.08,0.976931,0.680422,0.296509
5,0.09,0.974679,0.676453,0.298225
5,0.1,0.969612,0.668224,0.301388
5,0.11,0.964559,0.663621,0.300938
5,0.12,0.963571,0.663552,0.300019
5,0.13,0.955796,0.66585,0.289945
5,0.14,0.956631,0.671705,0.284926
5,0.15,0.952944,0.672448,0.280497
5,0.16,0.950313,0.672586,0.277727
5,0.17,0.950102,0.672667,0.277434
5,0.18,0.942645,0.667246,0.275399
5,0.19,0.943545,0.66715,0.276395
5,0.2,0.938895,0.662155,0.27674
5,0.21,0.937651,0.658615,0.279036
5,0.22,0.933906,0.654404,0.279503
5,0.23,0.929107,0.649125,0.279982
5,0.24,0.930132,0.6494,0.280732
5,0.25,0.925244,0.65342,0.271824
5,0.26,0.923658,0.65549,0.268168
5,0.27,0.921225,0.657879,0.263345
5,0.28,0.917292,0.659533,0.257758
5,0.29,0.916998,0.659999,0.256998
5,0.3,0.913366,0.660114,0.253253
5,0.31,0.909355,0.662679,0.246677
5,0.32,0.909543,0.666768,0.242775
5,0.33,0.905548,0.665277,0.240272
5,0.34,0.904531,0.665332,0.239198
5,0.35,0.903122,0.661367,0.241756
5,0.36,0.899092,0.660673,0.238419
5,0.37,0.898684,0.657515,0.241169
5,0.38,0.896161,0.656007,0.240153
5,0.39,0.893863,0.653952,0.239912
5,0.4,0.89308,0.656752,0.236328
5,0.41,0.890217,0.660831,0.229385
5,0.42,0.888652,0.660633,0.228019
5,0.43,0.886827,0.659118,0.22771
5,0.44,0.882692,0.661832,0.22086
5,0.45,0.882544,0.661639,0.220905
5,0.46,0.879996,0.664953,0.215042
5,0.47,0.878446,0.667852,0.210594
5,0.48,0.876664,0.666401,0.210262
5,0.49,0.874284,0.664743,0.209541
5,0.5,0.873212,0.667903,0.20531
5,0.51,0.871475,0.670848,0.200627
5,0.52,0.869348,0.671735,0.197613
5,0.53,0.867592,0.666526,0.201066
5,0.54,0.864894,0.669165,0.195729
5,0.55,0.864244,0.67042,0.193824
5,0.56,0.861303,0.669709,0.191594
5,0.57,0.859446,0.670712,0.188734
5,0.58,0.859232,0.673945,0.185286
5,0.59,0.857396,0.676349,0.181046
5,0.6,0.856054,0.674616,0.181438
5,0.61,0.854473,0.676539,0.177934
5,0.62,0.853219,0.676926,0.176293
5,0.63,0.852068,0.67797,0.174099
5,0.64,0.850598,0.677182,0.173417
5,0.65,0.849282,0.67944,0.169842
5,0.66,0.847508,0.682716,0.164792
5,0.67,0.846945,0.679424,0.167521
5,0.68,0.845964,0.683487,0.162477
5,0.69,0.84426,0.681212,0.163047
5,0.7,0.842248,0.684067,0.158181
5,0.71,0.840897,0.68601,0.154888
5,0.72,0.840012,0.685879,0.154133
5,0.73,0.83837,0.686446,0.151924
5,0.74,0.837248,0.685731,0.151517
5,0.75,0.83549,0.68907,0.14642
5,0.76,0.83382,0.686984,0.146837
5,0.77,0.832401,0.687012,0.145389
5,0.78,0.831189,0.691566,0.139622
5,0.79,0.829679,0.694485,0.135195
5,0.8,0.829242,0.691143,0.138099
5,0.81,0.828184,0.693759,0.134425
5,0.82,0.826976,0.696256,0.13072
5,0.83,0.82624,0.69886,0.12738
5,0.84,0.824817,0.695669,0.129148
5,0.85,0.823957,0.698737,0.12522
5,0.86,0.823322,0.697364,0.125957
5,0.87,0.822179,0.700319,0.12186
5,0.88,0.819589,0.703929,0.115659
5,0.89,0.818887,0.704825,0.114062
5,0.9,0.817749,0.704493,0.113255
5,0.91,0.817646,0.707104,0.110542
5,0.92,0.816568,0.705467,0.111101
5,0.93,0.816518,0.706423,0.110096
5,0.94,0.814823,0.710191,0.104632
5,0.95,0.814334,0.709315,0.105018
5,0.96,0.813459,0.710406,0.103053
5,0.97,0.812775,0.711696,0.101079
5,0.98,0.811565,0.711916,0.09965
5,0.99,0.810396,0.712606,0.09779
5,1.0,0.810241,0.716694,0.093546
