Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
6,0.0,0.995551,0.450354,0.545198
6,0.01,0.984436,0.456116,0.528321
6,0.02,0.984436,0.456116,0.528321
6,0.03,0.984436,0.456116,0.528321
6,0.04,0.984436,0.456115,0.528321
6,0.05,0.98411,0.455204,0.528906
6,0.06,0.983324,0.453737,0.529587
6,0.07,0.983769,0.453518,0.530251
6,0.08,0.983434,0.454333,0.529101
6,0.09,0.899382,0.453675,0.445706
6,0.1,0.905306,0.453059,0.452246
6,0.11,0.932113,0.453385,0.478728
6,0.12,0.9396,0.455229,0.484371
6,0.13,0.941624,0.455751,0.485873
6,0.14,0.94227,0.456252,0.486019
6,0.15,0.942161,0.455375,0.486787
6,0.16,0.940772,0.454749,0.486023
6,0.17,0.931015,0.454709,0.476307
6,0.18,0.856867,0.45386,0.403007
6,0.19,0.856663,0.454359,0.402304
6,0.2,0.84827,0.453119,0.395151
6,0.21,0.861873,0.452257,0.409616
6,0.22,0.873023,0.452506,0.420517
6,0.23,0.877996,0.45318,0.424816
6,0.24,0.880964,0.45425,0.426714
6,0.25,0.880549,0.454508,0.426041
6,0.26,0.869287,0.454069,0.415217
6,0.27,0.820679,0.453854,0.366826
6,0.28,0.785015,0.45319,0.331825
6,0.29,0.794106,0.452969,0.341137
6,0.3,0.787004,0.451931,0.335073
6,0.31,0.786574,0.449602,0.336972
6,0.32,0.798405,0.448817,0.349589
6,0.33,0.804155,0.448614,0.355541
6,0.34,0.80553,0.448555,0.356975
6,0.35,0.795802,0.44894,0.346862
6,0.36,0.779872,0.448571,0.331301
6,0.37,0.724826,0.447566,0.27726
6,0.38,0.715023,0.447137,0.267887
6,0.39,0.720496,0.447649,0.272847
6,0.4,0.720568,0.448073,0.272494
6,0.41,0.717832,0.447933,0.269899
6,0.42,0.71736,0.447516,0.269845
6,0.43,0.717974,0.447347,0.270627
6,0.44,0.719393,0.447052,0.272341
6,0.45,0.715365,0.447718,0.267647
6,0.46,0.701721,0.446733,0.254988
6,0.47,0.673316,0.445835,0.227481
6,0.48,0.636947,0.444066,0.192881
6,0.49,0.643182,0.444291,0.19889
6,0.5,0.645357,0.445086,0.200271
6,0.51,0.642608,0.445901,0.196706
6,0.52,0.639758,0.44616,0.193598
6,0.53,0.637707,0.445084,0.192623
6,0.54,0.632308,0.443663,0.188644
6,0.55,0.626868,0.443449,0.183419
6,0.56,0.615192,0.443489,0.171703
6,0.57,0.588124,0.442855,0.145269
6,0.58,0.560141,0.442061,0.118079
6,0.59,0.553049,0.441484,0.111565
6,0.6,0.558642,0.44169,0.116952
6,0.61,0.55791,0.442586,0.115323
6,0.62,0.560346,0.443164,0.117183
6,0.63,0.556755,0.443401,0.113354
6,0.64,0.549906,0.442528,0.107378
6,0.65,0.541166,0.441566,0.0996
6,0.66,0.52346,0.442503,0.080956
6,0.67,0.525652,0.441779,0.083873
6,0.68,0.494145,0.441216,0.052928
6,0.69,0.472539,0.440677,0.031862
6,0.7,0.468258,0.441277,0.026981
6,0.71,0.467514,0.441657,0.025858
6,0.72,0.472626,0.442016,0.03061
6,0.73,0.472295,0.44168,0.030615
6,0.74,0.469026,0.441067,0.027958
6,0.75,0.466401,0.440303,0.026098
6,0.76,0.457922,0.44107,0.016852
6,0.77,0.438105,0.442845,0.00474
6,0.78,0.438112,0.443075,0.004963
6,0.79,0.408271,0.443656,0.035385
6,0.8,0.38934,0.442327,0.052987
6,0.81,0.388391,0.442715,0.054324
6,0.82,0.385399,0.445787,0.060388
6,0.83,0.385009,0.445281,0.060271
6,0.84,0.389648,0.444809,0.055161
6,0.85,0.385931,0.445242,0.059311
6,0.86,0.38772,0.445442,0.057722
6,0.87,0.376616,0.444344,0.067728
6,0.88,0.376884,0.448062,0.071178
6,0.89,0.358361,0.44868,0.090319
6,0.9,0.334892,0.447873,0.11298
6,0.91,0.333917,0.447467,0.113551
6,0.92,0.316047,0.446274,0.130227
6,0.93,0.315859,0.447434,0.131575
6,0.94,0.311658,0.449494,0.137836
6,0.95,0.309579,0.450592,0.141013
6,0.96,0.310695,0.449769,0.139073
6,0.97,0.310172,0.4496,0.139429
6,0.98,0.305981,0.451901,0.14592
6,0.99,0.305808,0.450841,0.145032
6,1.0,0.288712,0.455031,0.166319
