Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
3,0.0,0.972703,0.126503,0.8462
3,0.01,0.360043,0.829225,0.469182
3,0.02,0.359738,0.829003,0.469265
3,0.03,0.35952,0.829297,0.469777
3,0.04,0.359285,0.829097,0.469812
3,0.05,0.35862,0.829013,0.470393
3,0.06,0.359301,0.831663,0.472362
3,0.07,0.356347,0.83244,0.476094
3,0.08,0.352797,0.834082,0.481285
3,0.09,0.34916,0.835048,0.485888
3,0.1,0.346275,0.835922,0.489647
3,0.11,0.344402,0.83649,0.492088
3,0.12,0.347108,0.83987,0.492763
3,0.13,0.345455,0.840696,0.495241
3,0.14,0.343801,0.841552,0.497751
3,0.15,0.341991,0.842654,0.500662
3,0.16,0.3399,0.843365,0.503465
3,0.17,0.339151,0.843817,0.504666
3,0.18,0.308542,0.849397,0.540856
3,0.19,0.332843,0.85016,0.517318
3,0.2,0.330851,0.85116,0.520309
3,0.21,0.32874,0.851726,0.522986
3,0.22,0.327043,0.852809,0.525766
3,0.23,0.325205,0.853273,0.528068
3,0.24,0.323213,0.854327,0.531114
3,0.25,0.289874,0.859697,0.569823
3,0.26,0.320317,0.860462,0.540146
3,0.27,0.318112,0.861106,0.542994
3,0.28,0.316547,0.861914,0.545367
3,0.29,0.314,0.862807,0.548807
3,0.3,0.312817,0.863658,0.55084
3,0.31,0.311723,0.864076,0.552353
3,0.32,0.27156,0.870619,0.599059
3,0.33,0.306174,0.870803,0.564629
3,0.34,0.305752,0.8719,0.566148
3,0.35,0.304186,0.872544,0.568359
3,0.36,0.301628,0.87326,0.571632
3,0.37,0.299875,0.873731,0.573856
3,0.38,0.298422,0.874706,0.576283
3,0.39,0.252664,0.881128,0.628464
3,0.4,0.291527,0.88176,0.590233
3,0.41,0.290953,0.882687,0.591734
3,0.42,0.288844,0.883349,0.594505
3,0.43,0.287527,0.883919,0.596392
3,0.44,0.286077,0.884429,0.598352
3,0.45,0.284092,0.884822,0.60073
3,0.46,0.282342,0.885775,0.603432
3,0.47,0.233248,0.891698,0.658449
3,0.48,0.275151,0.891961,0.61681
3,0.49,0.27496,0.892316,0.617355
3,0.5,0.271581,0.89306,0.621479
3,0.51,0.270941,0.893628,0.622687
3,0.52,0.269323,0.893471,0.624148
3,0.53,0.267066,0.893037,0.625971
3,0.54,0.265882,0.893841,0.627959
3,0.55,0.212126,0.898842,0.686717
3,0.56,0.210988,0.899819,0.688831
3,0.57,0.256832,0.898548,0.641716
3,0.58,0.254481,0.899888,0.645406
3,0.59,0.254836,0.898729,0.643893
3,0.6,0.250744,0.898559,0.647815
3,0.61,0.250529,0.898865,0.648336
3,0.62,0.248781,0.898076,0.649295
3,0.63,0.247117,0.898966,0.651849
3,0.64,0.192279,0.904038,0.711758
3,0.65,0.190675,0.904782,0.714107
3,0.66,0.237998,0.904274,0.666276
3,0.67,0.237488,0.90479,0.667303
3,0.68,0.235986,0.905123,0.669137
3,0.69,0.23492,0.905434,0.670514
3,0.7,0.232291,0.905573,0.673282
3,0.71,0.231798,0.906264,0.674466
3,0.72,0.230347,0.906132,0.675785
3,0.73,0.173637,0.910913,0.737276
3,0.74,0.172727,0.911581,0.738854
3,0.75,0.221854,0.911162,0.689308
3,0.76,0.220851,0.911687,0.690836
3,0.77,0.218826,0.912282,0.693457
3,0.78,0.219055,0.912678,0.693624
3,0.79,0.218708,0.912101,0.693393
3,0.8,0.214867,0.913542,0.698675
3,0.81,0.214472,0.912484,0.698012
3,0.82,0.214036,0.91277,0.698735
3,0.83,0.155388,0.918643,0.763255
3,0.84,0.153881,0.918119,0.764239
3,0.85,0.205998,0.917993,0.711995
3,0.86,0.204512,0.917669,0.713157
3,0.87,0.20344,0.918158,0.714718
3,0.88,0.20244,0.917953,0.715513
3,0.89,0.200987,0.918731,0.717744
3,0.9,0.199717,0.917704,0.717987
3,0.91,0.197953,0.918518,0.720565
3,0.92,0.197137,0.917388,0.720251
3,0.93,0.139113,0.922071,0.782958
3,0.94,0.137863,0.921253,0.783389
3,0.95,0.136882,0.92192,0.785038
3,0.96,0.189068,0.920199,0.731131
3,0.97,0.188906,0.920543,0.731638
3,0.98,0.186905,0.921789,0.734884
3,0.99,0.185957,0.920375,0.734419
3,1.0,0.184888,0.921311,0.736424
