Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
2,0.0,0.999999,0.65268,0.347319
2,0.01,0.999959,0.65248,0.34748
2,0.02,0.998652,0.652023,0.346629
2,0.03,0.985086,0.650546,0.33454
2,0.04,0.980387,0.64299,0.337397
2,0.05,0.973767,0.63582,0.337947
2,0.06,0.970533,0.629134,0.341399
2,0.07,0.966935,0.625523,0.341411
2,0.08,0.96196,0.61769,0.34427
2,0.09,0.956755,0.613465,0.34329
2,0.1,0.951112,0.610372,0.34074
2,0.11,0.946205,0.608238,0.337967
2,0.12,0.940396,0.60481,0.335586
2,0.13,0.9345,0.600828,0.333671
2,0.14,0.929195,0.597726,0.331469
2,0.15,0.924215,0.592373,0.331842
2,0.16,0.917591,0.587427,0.330165
2,0.17,0.912773,0.582779,0.329995
2,0.18,0.907763,0.578574,0.329189
2,0.19,0.900893,0.574432,0.326462
2,0.2,0.895417,0.570897,0.32452
2,0.21,0.890085,0.567462,0.322623
2,0.22,0.88383,0.564644,0.319186
2,0.23,0.877357,0.5619,0.315456
2,0.24,0.871556,0.558023,0.313533
2,0.25,0.864925,0.553217,0.311708
2,0.26,0.859128,0.550138,0.308989
2,0.27,0.854007,0.546591,0.307416
2,0.28,0.846971,0.543048,0.303923
2,0.29,0.840408,0.540249,0.300159
2,0.3,0.834254,0.536889,0.297364
2,0.31,0.82794,0.534087,0.293853
2,0.32,0.821137,0.530401,0.290736
2,0.33,0.81648,0.528374,0.288107
2,0.34,0.81038,0.524246,0.286134
2,0.35,0.802738,0.520443,0.282295
2,0.36,0.796526,0.518481,0.278045
2,0.37,0.789665,0.514464,0.275202
2,0.38,0.783899,0.511073,0.272826
2,0.39,0.777256,0.508678,0.268578
2,0.4,0.768971,0.504373,0.264598
2,0.41,0.764927,0.501352,0.263576
2,0.42,0.756285,0.499299,0.256987
2,0.43,0.75033,0.495619,0.254711
2,0.44,0.743697,0.49292,0.250777
2,0.45,0.736722,0.490997,0.245725
2,0.46,0.72979,0.487483,0.242307
2,0.47,0.723219,0.484928,0.238291
2,0.48,0.716531,0.480688,0.235842
2,0.49,0.710518,0.477826,0.232692
2,0.5,0.703446,0.476308,0.227139
2,0.51,0.696554,0.474014,0.22254
2,0.52,0.690044,0.471051,0.218994
2,0.53,0.684033,0.46626,0.217773
2,0.54,0.678043,0.466112,0.211931
2,0.55,0.671511,0.462167,0.209344
2,0.56,0.662592,0.460233,0.202358
2,0.57,0.656143,0.457518,0.198625
2,0.58,0.649817,0.454231,0.195586
2,0.59,0.643988,0.45145,0.192538
2,0.6,0.636441,0.449578,0.186862
2,0.61,0.62909,0.445735,0.183354
2,0.62,0.622121,0.443305,0.178816
2,0.63,0.61627,0.441164,0.175106
2,0.64,0.610383,0.437534,0.172849
2,0.65,0.601914,0.436285,0.16563
2,0.66,0.596858,0.433622,0.163236
2,0.67,0.591173,0.431068,0.160105
2,0.68,0.584716,0.427674,0.157043
2,0.69,0.578632,0.424824,0.153808
2,0.7,0.570948,0.422791,0.148156
2,0.71,0.565378,0.421268,0.14411
2,0.72,0.558414,0.416543,0.141872
2,0.73,0.551877,0.414355,0.137522
2,0.74,0.544812,0.411819,0.132992
2,0.75,0.538895,0.410455,0.12844
2,0.76,0.5324,0.407567,0.124833
2,0.77,0.525844,0.404348,0.121496
2,0.78,0.520693,0.401523,0.11917
2,0.79,0.514722,0.398208,0.116515
2,0.8,0.504885,0.396893,0.107992
2,0.81,0.504776,0.395728,0.109048
2,0.82,0.49514,0.389471,0.105669
2,0.83,0.488467,0.390689,0.097779
2,0.84,0.483129,0.387636,0.095492
2,0.85,0.476784,0.384019,0.092766
2,0.86,0.471402,0.382106,0.089297
2,0.87,0.466087,0.379829,0.086258
2,0.88,0.459179,0.377147,0.082032
2,0.89,0.452675,0.373084,0.079591
2,0.9,0.447592,0.37204,0.075553
2,0.91,0.441955,0.369327,0.072628
2,0.92,0.436121,0.366991,0.06913
2,0.93,0.431146,0.364258,0.066888
2,0.94,0.425774,0.361156,0.064619
2,0.95,0.420843,0.359547,0.061297
2,0.96,0.414667,0.357925,0.056742
2,0.97,0.408271,0.354906,0.053365
2,0.98,0.404447,0.352584,0.051863
2,0.99,0.398674,0.350733,0.047941
2,1.0,0.3944,0.349093,0.045307
