Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
1,0.0,1.0,0.435607,0.564393
1,0.01,0.964425,0.425718,0.538708
1,0.02,0.961567,0.41738,0.544187
1,0.03,0.956715,0.411415,0.5453
1,0.04,0.954567,0.406027,0.54854
1,0.05,0.948587,0.400229,0.548358
1,0.06,0.945223,0.394626,0.550598
1,0.07,0.939193,0.389262,0.549931
1,0.08,0.932395,0.383509,0.548886
1,0.09,0.923463,0.377731,0.545732
1,0.1,0.915439,0.372189,0.54325
1,0.11,0.907226,0.366599,0.540627
1,0.12,0.898717,0.360422,0.538296
1,0.13,0.890607,0.354969,0.535638
1,0.14,0.883147,0.350324,0.532823
1,0.15,0.871869,0.344413,0.527456
1,0.16,0.864795,0.339559,0.525236
1,0.17,0.854147,0.333578,0.520568
1,0.18,0.845707,0.32891,0.516796
1,0.19,0.838912,0.324284,0.514629
1,0.2,0.827136,0.318534,0.508602
1,0.21,0.820069,0.314357,0.505712
1,0.22,0.80992,0.310199,0.499721
1,0.23,0.805136,0.305083,0.500053
1,0.24,0.794735,0.300194,0.494541
1,0.25,0.78477,0.295124,0.489646
1,0.26,0.773462,0.290706,0.482755
1,0.27,0.764857,0.286261,0.478596
1,0.28,0.761167,0.282664,0.478503
1,0.29,0.754068,0.277928,0.476139
1,0.3,0.743261,0.273755,0.469506
1,0.31,0.736315,0.269735,0.46658
1,0.32,0.724514,0.265017,0.459497
1,0.33,0.716908,0.261248,0.455659
1,0.34,0.707451,0.256738,0.450713
1,0.35,0.699484,0.252889,0.446594
1,0.36,0.692518,0.248996,0.443522
1,0.37,0.687577,0.245097,0.442479
1,0.38,0.683428,0.242344,0.441085
1,0.39,0.673916,0.238369,0.435547
1,0.4,0.664201,0.234388,0.429814
1,0.41,0.65794,0.231299,0.42664
1,0.42,0.654015,0.228015,0.426
1,0.43,0.646763,0.224643,0.422119
1,0.44,0.638687,0.220633,0.418054
1,0.45,0.628454,0.216834,0.41162
1,0.46,0.622473,0.214192,0.408281
1,0.47,0.617684,0.210681,0.407003
1,0.48,0.612467,0.207855,0.404612
1,0.49,0.602632,0.204197,0.398434
1,0.5,0.598879,0.201353,0.397526
1,0.51,0.589721,0.198195,0.391525
1,0.52,0.582494,0.195657,0.386836
1,0.53,0.577112,0.19239,0.384721
1,0.54,0.572295,0.190118,0.382177
1,0.55,0.568871,0.188286,0.380585
1,0.56,0.566612,0.185723,0.38089
1,0.57,0.56312,0.182465,0.380655
1,0.58,0.558912,0.180729,0.378183
1,0.59,0.550033,0.176916,0.373117
1,0.6,0.54063,0.173899,0.36673
1,0.61,0.53838,0.171666,0.366714
1,0.62,0.533072,0.169456,0.363615
1,0.63,0.525218,0.166875,0.358343
1,0.64,0.520458,0.164912,0.355547
1,0.65,0.513635,0.162118,0.351516
1,0.66,0.50908,0.160263,0.348817
1,0.67,0.507335,0.1586,0.348735
1,0.68,0.5013,0.155787,0.345512
1,0.69,0.498004,0.153952,0.344052
1,0.7,0.491912,0.151994,0.339919
1,0.71,0.48627,0.149537,0.336733
1,0.72,0.484511,0.147913,0.336599
1,0.73,0.481233,0.146211,0.335022
1,0.74,0.471537,0.143505,0.328032
1,0.75,0.465234,0.1425,0.322734
1,0.76,0.461739,0.140916,0.320823
1,0.77,0.459834,0.139254,0.32058
1,0.78,0.45262,0.138237,0.314383
1,0.79,0.450476,0.13672,0.313756
1,0.8,0.442247,0.134833,0.307414
1,0.81,0.440385,0.133694,0.306691
1,0.82,0.435815,0.131973,0.303842
1,0.83,0.431178,0.131279,0.299899
1,0.84,0.429991,0.129905,0.300086
1,0.85,0.423653,0.12771,0.295942
1,0.86,0.42108,0.126977,0.294103
1,0.87,0.411906,0.124903,0.287002
1,0.88,0.410074,0.123865,0.286209
1,0.89,0.406546,0.122006,0.284541
1,0.9,0.402613,0.121155,0.281458
1,0.91,0.400131,0.119243,0.280887
1,0.92,0.395366,0.11865,0.276717
1,0.93,0.391542,0.117737,0.273806
1,0.94,0.384512,0.115617,0.268895
1,0.95,0.381793,0.114778,0.267015
1,0.96,0.379105,0.114259,0.264846
1,0.97,0.377912,0.112876,0.265036
1,0.98,0.3683,0.111511,0.25679
1,0.99,0.366851,0.110899,0.255952
1,1.0,0.360367,0.110304,0.250063
