Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
4,0.0,1.0,0.5585,0.4415
4,0.01,0.99045,0.536661,0.453789
4,0.02,0.99045,0.536661,0.453789
4,0.03,0.99045,0.536661,0.453789
4,0.04,0.990427,0.536768,0.453659
4,0.05,0.984071,0.528372,0.455699
4,0.06,0.979614,0.524945,0.454669
4,0.07,0.984508,0.531735,0.452773
4,0.08,0.987412,0.536832,0.45058
4,0.09,0.986042,0.535967,0.450075
4,0.1,0.980859,0.529818,0.451041
4,0.11,0.976093,0.526647,0.449446
4,0.12,0.974603,0.527036,0.447567
4,0.13,0.980048,0.532706,0.447342
4,0.14,0.976719,0.535778,0.440941
4,0.15,0.972238,0.530552,0.441686
4,0.16,0.972821,0.529294,0.443528
4,0.17,0.970233,0.52812,0.442113
4,0.18,0.963465,0.525887,0.437578
4,0.19,0.967589,0.527267,0.440322
4,0.2,0.960833,0.52154,0.439293
4,0.21,0.960631,0.52146,0.439171
4,0.22,0.952935,0.519593,0.433342
4,0.23,0.957529,0.519762,0.437767
4,0.24,0.950389,0.516144,0.434245
4,0.25,0.948163,0.515643,0.43252
4,0.26,0.952564,0.518087,0.434477
4,0.27,0.946318,0.517359,0.42896
4,0.28,0.946833,0.517596,0.429237
4,0.29,0.939841,0.513221,0.42662
4,0.3,0.935899,0.511326,0.424573
4,0.31,0.937315,0.513102,0.424214
4,0.32,0.940582,0.513849,0.426732
4,0.33,0.93504,0.509986,0.425054
4,0.34,0.93368,0.507376,0.426304
4,0.35,0.924961,0.505396,0.419565
4,0.36,0.923495,0.507362,0.416133
4,0.37,0.927241,0.50741,0.419831
4,0.38,0.927268,0.507788,0.41948
4,0.39,0.924811,0.505572,0.419238
4,0.4,0.834903,0.501924,0.332979
4,0.41,0.832115,0.500926,0.331189
4,0.42,0.832461,0.502161,0.3303
4,0.43,0.830451,0.500983,0.329469
4,0.44,0.828663,0.496769,0.331894
4,0.45,0.833148,0.498502,0.334646
4,0.46,0.831505,0.497409,0.334096
4,0.47,0.825471,0.49522,0.330251
4,0.48,0.820992,0.494969,0.326023
4,0.49,0.819633,0.4942,0.325433
4,0.5,0.822678,0.495142,0.327536
4,0.51,0.827564,0.500882,0.326682
4,0.52,0.823271,0.500891,0.32238
4,0.53,0.814903,0.497863,0.317041
4,0.54,0.813922,0.497616,0.316306
4,0.55,0.814689,0.496,0.31869
4,0.56,0.817129,0.496941,0.320189
4,0.57,0.815874,0.495616,0.320258
4,0.58,0.811123,0.492922,0.318202
4,0.59,0.80668,0.490997,0.315683
4,0.6,0.807659,0.49087,0.31679
4,0.61,0.808019,0.49109,0.31693
4,0.62,0.806314,0.492842,0.313472
4,0.63,0.803763,0.492759,0.311005
4,0.64,0.802348,0.491537,0.310812
4,0.65,0.799799,0.490644,0.309155
4,0.66,0.799105,0.489759,0.309346
4,0.67,0.799451,0.491051,0.3084
4,0.68,0.798037,0.491448,0.30659
4,0.69,0.794945,0.489877,0.305068
4,0.7,0.793174,0.487832,0.305342
4,0.71,0.789186,0.484591,0.304595
4,0.72,0.788761,0.484644,0.304117
4,0.73,0.788521,0.485227,0.303295
4,0.74,0.788184,0.485311,0.302873
4,0.75,0.786221,0.485337,0.300884
4,0.76,0.781806,0.483647,0.298159
4,0.77,0.779637,0.484043,0.295594
4,0.78,0.780177,0.483458,0.296718
4,0.79,0.780894,0.484556,0.296338
4,0.8,0.778844,0.483326,0.295518
4,0.81,0.775039,0.481449,0.29359
4,0.82,0.771944,0.481521,0.290423
4,0.83,0.771346,0.480856,0.290489
4,0.84,0.773804,0.483023,0.290781
4,0.85,0.771496,0.481971,0.289525
4,0.86,0.769442,0.482886,0.286556
4,0.87,0.766104,0.480714,0.285389
4,0.88,0.763223,0.479273,0.283951
4,0.89,0.762882,0.479945,0.282937
4,0.9,0.763148,0.48149,0.281658
4,0.91,0.761182,0.481389,0.279793
4,0.92,0.760181,0.480221,0.27996
4,0.93,0.757096,0.478008,0.279089
4,0.94,0.75384,0.478241,0.275599
4,0.95,0.752567,0.478972,0.273595
4,0.96,0.752254,0.480963,0.27129
4,0.97,0.751051,0.481818,0.269233
4,0.98,0.749445,0.481581,0.267864
4,0.99,0.745327,0.481335,0.263992
4,1.0,0.743307,0.480886,0.262421
