Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
1,0.0,0.99998,0.670056,0.329924
1,0.01,1.0,0.670063,0.329937
1,0.02,1.0,0.670063,0.329937
1,0.03,1.0,0.670063,0.329937
1,0.04,0.999963,0.669952,0.330011
1,0.05,0.996982,0.682755,0.314227
1,0.06,0.996982,0.682755,0.314227
1,0.07,0.996982,0.682755,0.314227
1,0.08,0.996948,0.682645,0.314303
1,0.09,0.982783,0.683586,0.299196
1,0.1,0.988162,0.694179,0.293983
1,0.11,0.988162,0.694179,0.293983
1,0.12,0.988131,0.694072,0.294059
1,0.13,0.979021,0.687549,0.291472
1,0.14,0.973872,0.704438,0.269434
1,0.15,0.973871,0.704422,0.269449
1,0.16,0.973846,0.704332,0.269514
1,0.17,0.971968,0.700469,0.271498
1,0.18,0.96151,0.704612,0.256898
1,0.19,0.954539,0.713609,0.24093
1,0.2,0.954517,0.71352,0.240997
1,0.21,0.953955,0.711971,0.241985
1,0.22,0.946797,0.707288,0.239509
1,0.23,0.929037,0.721161,0.207875
1,0.24,0.930657,0.721734,0.208923
1,0.25,0.930308,0.720424,0.209885
1,0.26,0.922424,0.715182,0.207243
1,0.27,0.920413,0.721097,0.199316
1,0.28,0.902824,0.729075,0.173749
1,0.29,0.902677,0.728528,0.17415
1,0.3,0.900302,0.724557,0.175744
1,0.31,0.895357,0.723533,0.171825
1,0.32,0.860782,0.73269,0.128093
1,0.33,0.871545,0.735155,0.13639
1,0.34,0.869724,0.731773,0.137951
1,0.35,0.861505,0.727793,0.133712
1,0.36,0.86293,0.73416,0.12877
1,0.37,0.837533,0.741129,0.096404
1,0.38,0.837016,0.739769,0.097248
1,0.39,0.831641,0.735335,0.096306
1,0.4,0.830073,0.736105,0.093969
1,0.41,0.800756,0.743925,0.056831
1,0.42,0.801154,0.744971,0.056184
1,0.43,0.79858,0.742639,0.055941
1,0.44,0.791086,0.73925,0.051836
1,0.45,0.793588,0.744602,0.048986
1,0.46,0.761902,0.750253,0.011648
1,0.47,0.762116,0.747862,0.014254
1,0.48,0.753532,0.744178,0.009354
1,0.49,0.75631,0.746266,0.010044
1,0.5,0.736279,0.753378,0.017099
1,0.51,0.724466,0.754181,0.029714
1,0.52,0.720422,0.75107,0.030649
1,0.53,0.716008,0.748829,0.032821
1,0.54,0.718079,0.753383,0.035304
1,0.55,0.684308,0.758633,0.074326
1,0.56,0.684267,0.756227,0.07196
1,0.57,0.675921,0.752818,0.076896
1,0.58,0.678635,0.754817,0.076182
1,0.59,0.667971,0.760302,0.092331
1,0.6,0.646024,0.760854,0.114829
1,0.61,0.641125,0.758113,0.116989
1,0.62,0.638761,0.757207,0.118446
1,0.63,0.641562,0.760405,0.118843
1,0.64,0.614677,0.765228,0.150551
1,0.65,0.605672,0.763982,0.15831
1,0.66,0.599994,0.760479,0.160485
1,0.67,0.6023,0.762139,0.159838
1,0.68,0.59815,0.767475,0.169325
1,0.69,0.571454,0.767132,0.195678
1,0.7,0.565221,0.765012,0.199791
1,0.71,0.564742,0.764578,0.199836
1,0.72,0.568036,0.766539,0.198502
1,0.73,0.548767,0.770432,0.221665
1,0.74,0.534058,0.770089,0.236032
1,0.75,0.529297,0.767436,0.238139
1,0.76,0.530852,0.767335,0.236483
1,0.77,0.529603,0.771995,0.242392
1,0.78,0.506018,0.774137,0.268119
1,0.79,0.49712,0.771206,0.274086
1,0.8,0.497631,0.770462,0.272831
1,0.81,0.499825,0.772645,0.27282
1,0.82,0.489215,0.775197,0.285981
1,0.83,0.470579,0.775426,0.304847
1,0.84,0.466539,0.773327,0.306787
1,0.85,0.468226,0.773322,0.305097
1,0.86,0.46835,0.775081,0.306731
1,0.87,0.44979,0.779239,0.329449
1,0.88,0.439257,0.776835,0.337578
1,0.89,0.439248,0.774273,0.335025
1,0.9,0.440435,0.776298,0.335863
1,0.91,0.43661,0.779195,0.342586
1,0.92,0.418166,0.780205,0.362039
1,0.93,0.413467,0.777389,0.363922
1,0.94,0.415276,0.778019,0.362743
1,0.95,0.41678,0.778932,0.362151
1,0.96,0.404202,0.782595,0.378393
1,0.97,0.391102,0.780916,0.389814
1,0.98,0.391262,0.779371,0.388109
1,0.99,0.391339,0.778921,0.387582
1,1.0,0.390858,0.782541,0.391683
