Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
2,0.0,1.0,0.691785,0.308215
2,0.01,0.999993,0.691732,0.308261
2,0.02,0.999475,0.690449,0.309026
2,0.03,0.978676,0.680033,0.298644
2,0.04,0.992709,0.688975,0.303734
2,0.05,0.990463,0.695748,0.294715
2,0.06,0.976581,0.683146,0.293435
2,0.07,0.975866,0.673944,0.301922
2,0.08,0.974783,0.687313,0.287469
2,0.09,0.969412,0.686167,0.283245
2,0.1,0.9644,0.682324,0.282076
2,0.11,0.95911,0.675342,0.283768
2,0.12,0.95547,0.677636,0.277834
2,0.13,0.951462,0.682163,0.269298
2,0.14,0.945167,0.673897,0.27127
2,0.15,0.939891,0.668717,0.271174
2,0.16,0.934086,0.672959,0.261127
2,0.17,0.929642,0.67239,0.257251
2,0.18,0.92332,0.665546,0.257774
2,0.19,0.918061,0.662776,0.255285
2,0.2,0.911672,0.663435,0.248236
2,0.21,0.905231,0.663892,0.241339
2,0.22,0.899161,0.655653,0.243508
2,0.23,0.892017,0.65495,0.237067
2,0.24,0.885599,0.65505,0.230549
2,0.25,0.879401,0.65029,0.229111
2,0.26,0.872454,0.647656,0.224797
2,0.27,0.865607,0.646272,0.219334
2,0.28,0.858904,0.640997,0.217907
2,0.29,0.850774,0.64129,0.209484
2,0.3,0.843907,0.636541,0.207366
2,0.31,0.835636,0.632357,0.203279
2,0.32,0.829719,0.632358,0.19736
2,0.33,0.822027,0.629099,0.192928
2,0.34,0.813645,0.624979,0.188666
2,0.35,0.805375,0.620732,0.184643
2,0.36,0.79893,0.61966,0.179271
2,0.37,0.790263,0.617006,0.173257
2,0.38,0.782729,0.611789,0.17094
2,0.39,0.774799,0.610497,0.164302
2,0.4,0.76631,0.606758,0.159552
2,0.41,0.757792,0.604388,0.153404
2,0.42,0.750233,0.600839,0.149394
2,0.43,0.74104,0.597187,0.143853
2,0.44,0.73326,0.592945,0.140315
2,0.45,0.723863,0.591002,0.132861
2,0.46,0.716132,0.588992,0.12714
2,0.47,0.707486,0.583643,0.123843
2,0.48,0.698908,0.580208,0.1187
2,0.49,0.689023,0.576612,0.112412
2,0.5,0.683192,0.575533,0.10766
2,0.51,0.673535,0.570779,0.102755
2,0.52,0.664422,0.569021,0.095401
2,0.53,0.654576,0.564508,0.090067
2,0.54,0.645797,0.560771,0.085025
2,0.55,0.636739,0.55731,0.07943
2,0.56,0.627423,0.55416,0.073263
2,0.57,0.619503,0.551802,0.0677
2,0.58,0.609384,0.547086,0.062298
2,0.59,0.601539,0.545473,0.056067
2,0.6,0.592789,0.541209,0.05158
2,0.61,0.583832,0.537713,0.046119
2,0.62,0.572615,0.535048,0.037567
2,0.63,0.566546,0.530926,0.035619
2,0.64,0.557661,0.528934,0.028728
2,0.65,0.548554,0.525069,0.023485
2,0.66,0.539208,0.521945,0.017262
2,0.67,0.529917,0.517693,0.012224
2,0.68,0.520994,0.514974,0.00602
2,0.69,0.512423,0.511427,0.000996
2,0.7,0.503867,0.508597,0.00473
2,0.71,0.496095,0.506678,0.010584
2,0.72,0.486002,0.503211,0.017208
2,0.73,0.477478,0.499161,0.021682
2,0.74,0.468843,0.495359,0.026516
2,0.75,0.460357,0.494171,0.033814
2,0.76,0.451685,0.490634,0.038949
2,0.77,0.444128,0.486385,0.042257
2,0.78,0.435,0.483879,0.048879
2,0.79,0.425681,0.481616,0.055935
2,0.8,0.417017,0.478094,0.061076
2,0.81,0.409813,0.475723,0.06591
2,0.82,0.401208,0.473211,0.072003
2,0.83,0.392748,0.468989,0.076241
2,0.84,0.383994,0.465822,0.081828
2,0.85,0.374966,0.462204,0.087238
2,0.86,0.36642,0.458795,0.092375
2,0.87,0.358752,0.45682,0.098068
2,0.88,0.351038,0.45394,0.102902
2,0.89,0.342075,0.452063,0.109988
2,0.9,0.333723,0.448106,0.114383
2,0.91,0.327412,0.44578,0.118368
2,0.92,0.319059,0.443226,0.124167
2,0.93,0.310175,0.438448,0.128273
2,0.94,0.302292,0.435702,0.13341
2,0.95,0.294706,0.432919,0.138213
2,0.96,0.28835,0.430508,0.142158
2,0.97,0.279523,0.428434,0.148911
2,0.98,0.27175,0.425012,0.153262
2,0.99,0.263828,0.423073,0.159246
2,1.0,0.25843,0.420047,0.161617
