Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
1,0.0,1.0,0.51267,0.48733
1,0.01,1.0,0.51266,0.48734
1,0.02,0.995096,0.508926,0.486171
1,0.03,0.990598,0.51374,0.476857
1,0.04,0.973499,0.518699,0.4548
1,0.05,0.991864,0.525692,0.466172
1,0.06,0.981955,0.525115,0.456841
1,0.07,0.957463,0.527688,0.429775
1,0.08,0.959528,0.531022,0.428506
1,0.09,0.968254,0.536164,0.43209
1,0.1,0.951941,0.536544,0.415397
1,0.11,0.939,0.538564,0.400437
1,0.12,0.934004,0.54071,0.393294
1,0.13,0.93384,0.543519,0.390321
1,0.14,0.920656,0.545579,0.375078
1,0.15,0.912537,0.546226,0.366311
1,0.16,0.902173,0.547471,0.354702
1,0.17,0.895285,0.549371,0.345914
1,0.18,0.887032,0.551023,0.336009
1,0.19,0.87704,0.551596,0.325444
1,0.2,0.864522,0.552071,0.312451
1,0.21,0.856374,0.55231,0.304064
1,0.22,0.848244,0.554021,0.294222
1,0.23,0.838442,0.554457,0.283984
1,0.24,0.823961,0.553893,0.270067
1,0.25,0.81416,0.554569,0.259591
1,0.26,0.804913,0.55485,0.250063
1,0.27,0.795674,0.554721,0.240954
1,0.28,0.779325,0.55451,0.224815
1,0.29,0.771352,0.554051,0.217301
1,0.3,0.759665,0.553487,0.206178
1,0.31,0.745777,0.553211,0.192567
1,0.32,0.735211,0.553105,0.182106
1,0.33,0.723547,0.552112,0.171435
1,0.34,0.710133,0.552163,0.15797
1,0.35,0.699051,0.550499,0.148553
1,0.36,0.686303,0.549681,0.136622
1,0.37,0.678507,0.548436,0.130072
1,0.38,0.664128,0.547808,0.116319
1,0.39,0.650788,0.546883,0.103905
1,0.4,0.639572,0.544266,0.095306
1,0.41,0.627775,0.544171,0.083604
1,0.42,0.617514,0.542167,0.075347
1,0.43,0.603698,0.541775,0.061923
1,0.44,0.590326,0.539334,0.050992
1,0.45,0.579282,0.53754,0.041742
1,0.46,0.569947,0.535805,0.034143
1,0.47,0.554438,0.534403,0.020034
1,0.48,0.544066,0.531911,0.012155
1,0.49,0.530035,0.531345,0.00131
1,0.5,0.519927,0.529205,0.009277
1,0.51,0.509459,0.527331,0.017872
1,0.52,0.495332,0.52507,0.029739
1,0.53,0.484426,0.522844,0.038418
1,0.54,0.472538,0.521348,0.048809
1,0.55,0.463453,0.518579,0.055126
1,0.56,0.451183,0.516787,0.065605
1,0.57,0.439258,0.515511,0.076252
1,0.58,0.429294,0.512857,0.083563
1,0.59,0.418369,0.509353,0.090985
1,0.6,0.408581,0.507711,0.09913
1,0.61,0.39777,0.506569,0.108799
1,0.62,0.385874,0.504027,0.118153
1,0.63,0.376605,0.501726,0.125122
1,0.64,0.365838,0.500013,0.134175
1,0.65,0.354949,0.497043,0.142094
1,0.66,0.345473,0.494947,0.149474
1,0.67,0.334915,0.492988,0.158073
1,0.68,0.32339,0.49086,0.16747
1,0.69,0.314278,0.488322,0.174045
1,0.7,0.305588,0.485633,0.180045
1,0.71,0.297641,0.484019,0.186378
1,0.72,0.288598,0.481143,0.192546
1,0.73,0.278695,0.478956,0.200261
1,0.74,0.268918,0.476849,0.207931
1,0.75,0.262376,0.475268,0.212892
1,0.76,0.253362,0.472456,0.219093
1,0.77,0.243437,0.46996,0.226524
1,0.78,0.233778,0.467793,0.234015
1,0.79,0.232486,0.465636,0.23315
1,0.8,0.2209,0.462748,0.241848
1,0.81,0.21337,0.460998,0.247628
1,0.82,0.205638,0.459803,0.254165
1,0.83,0.199453,0.458532,0.259079
1,0.84,0.192803,0.456295,0.263492
1,0.85,0.1851,0.452918,0.267818
1,0.86,0.178233,0.450958,0.272726
1,0.87,0.173076,0.449811,0.276735
1,0.88,0.165896,0.448052,0.282156
1,0.89,0.160903,0.446632,0.285728
1,0.9,0.153839,0.44387,0.290031
1,0.91,0.147442,0.441908,0.294467
1,0.92,0.140673,0.440762,0.300089
1,0.93,0.13554,0.439105,0.303565
1,0.94,0.131533,0.437455,0.305922
1,0.95,0.123966,0.437326,0.31336
1,0.96,0.118116,0.433632,0.315516
1,0.97,0.115506,0.432225,0.316719
1,0.98,0.109502,0.431256,0.321754
1,0.99,0.105184,0.429634,0.32445
1,1.0,0.099728,0.428649,0.328922
