Correlation Distance
No,Weight,"D(S, Iw)","D(T, Iw)",Difference
5,0.0,1.0,0.688654,0.311346
5,0.01,0.998499,0.702021,0.296478
5,0.02,0.997859,0.700659,0.2972
5,0.03,0.996647,0.7032,0.293447
5,0.04,0.994245,0.702565,0.29168
5,0.05,0.987968,0.693795,0.294174
5,0.06,0.983488,0.697165,0.286323
5,0.07,0.972981,0.669398,0.303583
5,0.08,0.969762,0.675018,0.294744
5,0.09,0.964456,0.683247,0.281208
5,0.1,0.964578,0.676159,0.288419
5,0.11,0.959837,0.687145,0.272692
5,0.12,0.958562,0.678797,0.279765
5,0.13,0.950906,0.664527,0.286379
5,0.14,0.950693,0.66603,0.284663
5,0.15,0.942803,0.669934,0.27287
5,0.16,0.943149,0.685013,0.258135
5,0.17,0.936812,0.691462,0.24535
5,0.18,0.937474,0.678806,0.258669
5,0.19,0.930252,0.660764,0.269488
5,0.2,0.92896,0.663868,0.265092
5,0.21,0.924022,0.672596,0.251425
5,0.22,0.92254,0.674133,0.248407
5,0.23,0.917009,0.669707,0.247302
5,0.24,0.915292,0.66815,0.247143
5,0.25,0.91165,0.671615,0.240035
5,0.26,0.90905,0.676772,0.232278
5,0.27,0.905738,0.674692,0.231046
5,0.28,0.901583,0.664882,0.236701
5,0.29,0.900421,0.665721,0.2347
5,0.3,0.89474,0.665849,0.228891
5,0.31,0.89367,0.670378,0.223291
5,0.32,0.88952,0.672146,0.217374
5,0.33,0.888323,0.674201,0.214122
5,0.34,0.884806,0.67185,0.212956
5,0.35,0.882273,0.668611,0.213662
5,0.36,0.878727,0.668482,0.210245
5,0.37,0.875364,0.669679,0.205684
5,0.38,0.872424,0.666143,0.20628
5,0.39,0.87103,0.670789,0.200241
5,0.4,0.867796,0.672788,0.195008
5,0.41,0.864703,0.67673,0.187973
5,0.42,0.862796,0.673104,0.189693
5,0.43,0.859182,0.672637,0.186544
5,0.44,0.856554,0.67224,0.184314
5,0.45,0.853475,0.67785,0.175624
5,0.46,0.851998,0.677032,0.174966
5,0.47,0.848296,0.676743,0.171553
5,0.48,0.847166,0.676778,0.170388
5,0.49,0.842968,0.678531,0.164437
5,0.5,0.842414,0.68157,0.160844
5,0.51,0.839266,0.680316,0.15895
5,0.52,0.838529,0.682947,0.155581
5,0.53,0.834798,0.683177,0.151621
5,0.54,0.831687,0.683759,0.147928
5,0.55,0.828989,0.682492,0.146497
5,0.56,0.827181,0.687762,0.139419
5,0.57,0.82463,0.689929,0.134701
5,0.58,0.822808,0.687311,0.135497
5,0.59,0.82055,0.689578,0.130973
5,0.6,0.816935,0.690961,0.125973
5,0.61,0.815248,0.692919,0.122329
5,0.62,0.813227,0.690904,0.122324
5,0.63,0.810258,0.69551,0.114748
5,0.64,0.808894,0.696696,0.112198
5,0.65,0.806738,0.700148,0.10659
5,0.66,0.804051,0.69894,0.105111
5,0.67,0.802562,0.703783,0.098779
5,0.68,0.800293,0.702614,0.097679
5,0.69,0.798018,0.704272,0.093746
5,0.7,0.795586,0.708198,0.087388
5,0.71,0.792728,0.708174,0.084554
5,0.72,0.791028,0.710282,0.080745
5,0.73,0.788658,0.709978,0.07868
5,0.74,0.787403,0.712778,0.074624
5,0.75,0.785672,0.714689,0.070983
5,0.76,0.783528,0.720943,0.062585
5,0.77,0.780678,0.720461,0.060217
5,0.78,0.781524,0.722137,0.059387
5,0.79,0.777148,0.723149,0.053999
5,0.8,0.776071,0.725081,0.050989
5,0.81,0.77421,0.725762,0.048448
5,0.82,0.771595,0.728822,0.042773
5,0.83,0.770222,0.731991,0.038231
5,0.84,0.76837,0.728787,0.039583
5,0.85,0.766275,0.735878,0.030396
5,0.86,0.766,0.734927,0.031073
5,0.87,0.763298,0.739066,0.024232
5,0.88,0.760921,0.739233,0.021688
5,0.89,0.759906,0.740831,0.019075
5,0.9,0.758111,0.743517,0.014595
5,0.91,0.756526,0.745415,0.011111
5,0.92,0.754755,0.748185,0.00657
5,0.93,0.753538,0.749864,0.003674
5,0.94,0.75104,0.75186,0.00082
5,0.95,0.750398,0.752512,0.002114
5,0.96,0.748184,0.750311,0.002127
5,0.97,0.747185,0.759066,0.011881
5,0.98,0.745207,0.754638,0.00943
5,0.99,0.743814,0.760396,0.016582
5,1.0,0.742556,0.762052,0.019497
